slug;text
crafting.fire;Fire
crafting.cookpot;Cookpot
crafting.ice;Ice
effect.hearts;Hearts
effect.bonusstamina;BonusStamina
effect.stamina;Stamina
effect.haste;Haste
effect.bonushearts;BonusHearts
effect.sneak;Sneak
effect.coldresistance;ColdResistance
effect.fireresistance;FireResistance
effect.fireproof;Fireproof
effect.electricresistance;ElectricResistance
effect.attack;Attack
effect.defence;Defence
items.hearty-durian;Hearty Durian
items.palm-fruit;Palm Fruit
items.apple;Apple
items.wildberry;Wildberry
items.hydromelon;Hydromelon
items.spicy-pepper;Spicy Pepper
items.voltfruit;Voltfruit
items.fleet-lotus-seeds;Fleet-Lotus Seeds
items.mighty-bananas;Mighty Bananas
items.big-hearty-truffle;Big Hearty Truffle
items.hearty-truffle;Hearty Truffle
items.hylian-shroom;Hylian Shroom
items.endura-shroom;Endura Shroom
items.stamella-shroom;Stamella Shroom
items.chillshroom;Chillshroom
items.sunshroom;Sunshroom
items.zapshroom;Zapshroom
items.rushroom;Rushroom
items.razorshroom;Razorshroom
items.ironshroom;Ironshroom
items.silent-shroom;Silent Shroom
items.big-hearty-radish;Big Hearty Radish
items.hearty-radish;Hearty Radish
items.endura-carrot;Endura Carrot
items.hyrule-herb;Hyrule Herb
items.swift-carrot;Swift Carrot
items.fortified-pumpkin;Fortified Pumpkin
items.cool-safflina;Cool Safflina
items.warm-safflina;Warm Safflina
items.electric-safflina;Electric Safflina
items.swift-violet;Swift Violet
items.mighty-thistle;Mighty Thistle
items.armoranth;Armoranth
items.blue-nightshade;Blue Nightshade
items.silent-princess;Silent Princess
items.raw-gourmet-meat;Raw Gourmet Meat
items.raw-whole-bird;Raw Whole Bird
items.raw-prime-meat;Raw Prime Meat
items.raw-bird-thigh;Raw Bird Thigh
items.raw-meat;Raw Meat
items.raw-bird-drumstick;Raw Bird Drumstick
items.courser-bee-honey;Courser Bee Honey
items.hylian-rice;Hylian Rice
items.acorn;Acorn
items.chickaloo-tree-nut;Chickaloo Tree Nut
items.bird-egg;Bird Egg
items.tabantha-wheat;Tabantha Wheat
items.fresh-milk;Fresh Milk
items.cane-sugar;Cane Sugar
items.goat-butter;Goat Butter
items.goron-spice;Goron Spice
items.rock-salt;Rock Salt
items.monster-extract;Monster Extract
items.star-fragment;Star Fragment
items.dinraals-scale;Dinraal's Scale
items.dinraals-claw;Dinraal's Claw
items.shard-of-dinraals-fang;Shard of Dinraal's Fang
items.shard-of-dinraals-horn;Shard of Dinraal's Horn
items.naydras-scale;Naydra's Scale
items.naydras-claw;Naydra's Claw
items.shard-of-naydras-fang;Shard of Naydra's Fang
items.shard-of-naydras-horn;Shard of Naydra's Horn
items.faroshs-scale;Farosh's Scale
items.faroshs-claw;Farosh's Claw
items.shard-of-faroshs-fang;Shard of Farosh's Fang
items.shard-of-faroshs-horn;Shard of Farosh's Horn
items.hearty-salmon;Hearty Salmon
items.hearty-bass;Hearty Bass
items.hyrule-bass;Hyrule Bass
items.staminoka-bass;Staminoka Bass
items.chillfin-trout;Chillfin Trout
items.sizzlefin-trout;Sizzlefin Trout
items.voltfin-trout;Voltfin Trout
items.stealthfin-trout;Stealthfin Trout
items.mighty-carp;Mighty Carp
items.armored-carp;Armored Carp
items.sanke-carp;Sanke Carp
items.mighty-porgy;Mighty Porgy
items.armored-porgy;Armored Porgy
items.sneaky-river-snail;Sneaky River Snail
items.hearty-blueshell-snail;Hearty Blueshell Snail
items.razorclaw-crab;Razorclaw Crab
items.ironshell-crab;Ironshell Crab
items.bright-eyed-crab;Bright Eyed Crab
items.fairy;Fairy
items.winterwing-butterfly;Winterwing Butterfly
items.summerwing-butterfly;Summerwing Butterfly
items.thunderwing-butterfly;Thunderwing Butterfly
items.smotherwing-butterfly;Smotherwing Butterfly
items.cold-darner;Cold Darner
items.warm-darner;Warm Darner
items.electric-darner;Electric Darner
items.restless-cricket;Restless Cricket
items.bladed-rhino-beetle;Bladed Rhino Beetle
items.rugged-rhino-beetle;Rugged Rhino Beetle
items.energetic-rhino-beetle;Energetic Rhino Beetle
items.sunset-firefly;Sunset Firefly
items.hot-footed-frog;Hot-Footed Frog
items.tireless-frog;Tireless Frog
items.hightail-lizard;Hightail Lizard
items.hearty-lizard;Hearty Lizard
items.fireproof-lizard;Fireproof Lizard
items.flint;Flint
items.amber;Amber
items.opal;Opal
items.luminous-stone;Luminous Stone
items.topaz;Topaz
items.ruby;Ruby
items.sapphire;Sapphire
items.diamond;Diamond
items.bokoblin-horn;Bokoblin Horn 
items.bokoblin-fang;Bokoblin Fang
items.bokoblin-guts;Bokoblin Guts
items.moblin-horn;Moblin Horn
items.moblin-fang;Moblin Fang
items.moblin-guts;Moblin Guts
items.lizalfos-horn;Lizalfos Horn
items.lizalfos-talon;Lizalfos Talon
items.lizalfos-tail;Lizalfos Tail
